1、序号,2、您的性别:,3、您的年龄：,4、您目前所在的学校类型：,5、学校属于教研体系建设县（市、区）教研项目（中山小榄）中哪一类：,6、本学期，您任教的学科是:,7、您的教龄（正式教学年限）：,8、您是否担任过以下职务（可多选）：(备课组长),8、(教研组长),8、(教务主任/教学副校长),8、(校本课程开发负责人),8、(暂无担任),9、您是否参加过与“课程领导力”相关的教师培训或课题项目？,10、您的最高学历：,11、您目前的职称：,12、您当前任教的学校名称是：,13、您最高学历所学的专业类别是?,14、您是否是师范类专业毕业?,15、您的岗位性质是:,16、您目前任教的年级是:【可多选】(小学一年级),16、(小学二年级),16、(小学三年级),16、(小学四年级),16、(小学五年级),16、(小学六年级),16、(初一),16、(初二),16、(初三),16、(高一),16、(高二),16、(高三),17、您在本学期是否担任班主任:,创新教学观总分,创造力效能感总分,创造性教学情况总分,创造力成长观总分
42,2,2,1,3,2,2,0,0,0,0,1,2,2,1,19,6,2,2,0,1,0,0,0,0,0,0,0,0,0,0,2,56,19,111,30
43,1,5,1,3,2,6,0,0,0,0,1,2,2,2,19,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,54,24,112,30
44,2,3,1,1,8,4,1,1,0,0,0,2,2,1,19,1,2,2,0,0,0,1,1,1,0,0,0,0,0,0,1,81,27,138,44
45,2,5,1,1,1,6,0,0,0,0,1,2,2,3,19,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,54,16,111,30
46,1,6,1,3,14,6,0,1,0,0,0,2,2,2,19,2,1,2,0,0,1,1,1,1,0,0,0,0,0,0,1,54,24,111,30
47,2,2,1,3,1,3,1,0,0,0,0,1,2,1,19,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,69,20,112,30
48,2,6,1,1,2,6,0,0,0,0,1,2,1,2,19,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,62,21,110,34
49,1,5,1,3,2,6,1,0,0,0,0,2,2,2,19,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,60,16,84,30
50,2,5,1,3,2,6,1,0,0,0,0,2,2,2,19,6,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,57,20,108,32
51,1,6,1,3,4,6,1,1,1,0,0,2,2,3,19,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,51,28,140,40
52,2,2,1,1,1,2,0,0,0,0,1,2,2,1,19,1,2,2,1,1,0,1,0,0,0,0,0,0,0,0,1,61,26,93,30
53,1,4,1,3,11,5,1,0,0,0,0,1,2,4,19,5,1,6,1,0,1,1,0,0,0,0,0,0,0,0,2,54,24,112,34
54,2,2,1,1,1,3,0,0,0,0,1,2,2,4,19,1,1,6,0,0,1,0,0,0,0,0,0,0,0,0,1,67,18,102,33
55,2,4,1,1,1,4,0,0,0,0,1,1,2,2,19,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,82,24,116,33
56,2,2,1,3,15,2,0,0,0,0,1,2,2,1,19,2,2,3,1,1,1,1,1,1,0,0,0,0,0,0,2,70,20,111,40
57,2,2,1,1,1,3,0,0,0,0,1,2,2,1,19,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,1,51,28,140,30
58,2,3,1,1,13,4,1,0,0,1,0,2,2,2,19,4,1,2,0,0,0,1,1,1,0,0,0,0,0,0,2,70,22,108,34
59,2,2,1,3,1,3,1,0,0,0,0,2,2,1,19,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,69,16,112,31
60,2,3,1,2,13,1,0,0,0,0,1,2,2,1,19,4,1,3,1,0,1,1,0,1,0,0,0,0,0,0,2,60,17,85,32
61,2,3,4,3,3,3,1,1,0,0,0,2,2,4,43,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,2,60,16,130,47
62,2,2,1,1,1,2,0,0,0,0,1,2,2,1,19,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,65,22,134,31
63,2,3,4,3,2,4,0,1,0,0,0,2,2,1,43,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,1,81,21,140,33
64,2,2,1,3,3,2,0,0,0,0,1,2,2,2,19,1,1,3,1,0,0,0,1,0,0,0,0,0,0,0,2,74,20,106,33
65,2,2,1,2,2,3,1,0,0,0,0,2,2,1,19,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,79,24,112,30
66,1,2,1,1,11,3,1,1,0,0,0,1,2,1,19,5,1,2,1,0,0,1,1,0,0,0,0,0,0,0,1,54,24,112,30
67,2,3,1,3,1,4,1,1,0,0,0,2,2,2,19,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,72,20,140,38
68,2,6,1,1,1,6,0,0,0,0,1,2,1,2,19,6,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,62,16,126,33
69,2,6,1,3,3,6,0,0,0,0,1,2,2,2,19,1,1,2,0,1,0,1,0,1,0,0,0,0,0,0,2,68,16,118,29
70,1,4,1,1,16,5,0,0,0,0,1,1,2,2,19,4,1,2,0,0,1,1,1,1,0,0,0,0,0,0,1,65,21,121,31
71,2,6,1,3,1,6,0,0,0,0,1,1,2,2,19,6,1,6,0,1,0,0,0,0,0,0,0,0,0,0,1,86,23,103,38
72,2,5,1,1,12,6,1,0,0,0,0,2,2,2,19,4,1,2,1,1,1,0,1,0,0,0,0,0,0,0,1,78,25,139,34
73,1,6,1,3,11,6,0,1,1,0,0,2,2,3,19,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,99,24,139,49
74,2,3,1,3,3,5,0,1,0,0,0,2,2,2,19,1,1,2,0,1,0,1,0,1,0,0,0,0,0,0,1,78,24,138,27
75,2,4,1,3,1,6,0,0,0,0,1,2,2,2,19,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,82,23,108,41
76,1,6,1,1,2,6,1,0,0,0,0,2,2,2,19,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,62,24,106,32
77,2,3,1,1,1,3,0,0,0,0,1,2,2,1,19,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,1,69,20,101,35
78,2,6,1,3,2,6,1,0,0,0,0,2,2,2,19,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,59,15,112,31
79,2,1,1,3,1,2,0,0,0,0,1,2,2,1,19,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,82,24,109,34
80,1,2,1,3,11,3,0,0,0,0,1,2,2,1,19,5,1,3,1,1,0,1,0,0,0,0,0,0,0,0,1,70,20,91,35
81,2,3,1,1,1,4,0,0,0,0,1,2,3,2,19,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,69,20,103,30
82,2,2,1,3,2,3,0,0,0,0,1,2,2,1,19,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,69,28,129,32
83,2,2,1,1,2,2,0,0,0,0,1,2,2,4,19,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,87,21,110,40
84,2,5,4,3,3,6,0,1,0,0,0,2,2,1,43,1,1,4,1,0,1,0,0,0,0,0,0,0,0,0,2,66,16,91,36
85,1,2,4,3,11,3,0,0,0,0,1,2,2,1,43,5,2,4,1,1,0,1,0,0,0,0,0,0,0,0,2,84,18,102,41
86,2,6,1,1,3,6,1,1,0,0,0,2,2,2,19,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,1,81,24,140,29
87,2,5,1,1,1,6,0,0,0,0,1,2,2,2,19,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,54,24,111,32
88,2,3,1,3,1,4,1,0,0,0,0,2,2,2,19,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,73,20,84,38
89,2,1,1,1,13,2,0,0,0,0,1,2,2,1,19,4,1,6,1,1,0,1,1,0,0,0,0,0,0,0,2,61,19,75,37
90,1,5,4,3,16,6,0,1,0,0,0,2,2,1,49,4,1,4,1,1,1,1,0,0,0,0,0,0,0,0,2,60,16,85,30
91,2,2,4,1,13,2,0,0,0,0,1,1,2,2,43,4,2,4,1,1,1,1,1,0,0,0,0,0,0,0,2,77,24,112,40
92,1,3,4,3,11,5,0,0,0,0,1,2,2,2,49,1,1,4,1,0,1,0,0,1,0,0,0,0,0,0,2,60,16,84,30
93,2,3,4,3,3,5,0,0,0,0,1,2,2,1,49,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,1,61,16,82,30
94,2,2,4,3,12,2,0,0,0,0,1,2,3,1,49,4,1,4,0,1,0,0,0,1,0,0,0,0,0,0,2,71,24,112,35
95,1,5,4,3,14,6,0,0,0,0,1,2,2,2,42,2,1,4,0,0,1,0,0,0,1,0,0,0,0,0,2,79,28,139,45
96,2,1,4,3,2,2,1,0,0,0,0,2,2,1,49,2,2,4,0,0,0,1,0,0,0,0,0,0,0,0,1,78,20,112,39
97,2,4,4,3,1,4,1,0,0,0,0,2,2,1,49,1,1,5,0,0,0,0,1,0,0,0,0,0,0,0,1,51,28,140,30
98,2,2,4,3,1,3,1,0,0,0,0,2,2,1,49,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,1,58,20,84,30
99,2,2,4,1,1,2,0,0,0,0,1,1,2,1,49,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,1,99,28,128,37
100,1,2,4,2,2,2,0,0,0,0,1,2,2,1,49,2,1,4,0,0,0,0,1,0,0,0,0,0,0,0,1,55,24,133,50
101,2,3,4,1,1,4,0,0,0,0,1,2,2,1,49,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,1,58,16,84,31
102,2,2,4,1,1,4,0,0,0,0,1,2,2,1,49,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,1,74,16,84,30
103,2,2,4,1,3,4,0,0,0,0,1,2,2,2,49,1,1,4,1,1,0,0,1,0,0,0,0,0,0,0,2,57,20,84,30
104,2,2,4,1,2,3,1,0,0,0,0,2,2,4,49,2,2,4,0,0,0,0,0,1,0,0,0,0,0,0,2,70,24,109,38
105,1,3,1,2,11,2,0,0,0,0,1,2,2,1,27,5,1,3,0,1,1,1,1,1,0,0,0,0,0,0,2,60,18,90,30
106,2,4,1,1,3,5,0,1,0,0,0,2,2,2,27,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,2,54,24,112,31
107,1,2,1,2,11,2,0,0,0,0,1,2,2,1,27,5,1,6,1,1,1,0,1,1,0,0,0,0,0,0,2,91,20,117,35
108,1,6,1,1,2,6,1,1,0,0,0,2,2,2,27,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,2,54,24,112,30
109,2,2,4,3,16,1,0,0,0,0,1,1,2,1,49,1,2,4,1,1,1,1,1,1,0,0,0,0,0,0,2,85,24,110,41
110,2,2,1,1,1,3,1,0,0,0,0,2,2,2,27,1,1,6,0,1,1,0,0,0,0,0,0,0,0,0,1,88,27,135,41
111,2,3,4,1,16,4,0,0,0,0,1,2,2,4,49,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,1,57,20,110,30
112,2,2,1,1,1,3,0,0,0,0,1,2,2,1,27,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,1,68,16,133,30
113,2,5,1,3,12,6,0,0,0,0,1,2,2,2,27,4,2,2,1,1,1,1,1,1,0,0,0,0,0,0,2,84,24,112,45
114,1,6,2,1,2,6,1,0,0,0,0,1,2,3,3,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,95,28,140,33
115,1,6,1,2,11,6,0,0,0,0,1,2,2,2,27,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,2,57,20,131,30
116,2,2,4,1,1,3,0,0,0,0,1,2,2,1,49,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,1,53,24,134,31
117,1,5,4,3,1,5,0,0,1,0,0,2,2,2,42,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,2,53,24,116,29
118,1,2,1,2,1,2,0,0,0,0,1,2,2,1,27,1,2,2,0,1,1,1,0,0,0,0,0,0,0,0,1,71,18,112,39
119,1,3,4,3,11,5,0,0,0,0,1,2,2,4,49,2,1,4,0,1,0,1,0,1,0,0,0,0,0,0,2,55,20,84,30
120,2,4,4,3,12,5,1,1,0,0,0,2,2,1,49,4,1,4,0,0,0,0,1,1,0,0,0,0,0,0,2,61,16,85,31
121,2,3,1,2,1,4,0,0,0,0,1,2,2,1,27,1,2,6,1,0,1,0,0,0,0,0,0,0,0,0,1,88,24,112,40
122,1,5,4,3,1,6,0,0,1,0,0,2,2,2,42,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,2,99,24,138,46
123,1,3,4,2,1,3,1,0,0,0,0,2,2,1,49,2,2,5,0,0,0,1,0,0,0,0,0,0,0,0,2,63,24,112,34
124,1,3,1,1,13,3,0,0,0,0,1,2,3,1,27,4,1,2,0,0,1,1,1,1,0,0,0,0,0,0,2,57,28,140,24
125,2,4,1,3,2,4,0,0,0,0,1,2,2,1,27,4,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1,79,24,110,39
126,2,4,1,3,1,5,0,0,0,0,1,2,2,2,27,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,2,87,17,110,35
127,1,6,1,1,11,6,1,1,0,0,0,1,1,2,27,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,2,54,24,126,32
128,2,2,1,1,2,3,1,0,0,0,0,2,2,1,27,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,2,56,20,112,37
129,2,3,1,2,13,3,0,0,0,0,1,2,2,4,27,4,1,3,1,1,1,1,1,0,0,0,0,0,0,0,1,57,20,112,30
130,2,5,1,2,3,6,1,1,1,0,0,2,2,2,27,1,1,2,0,1,0,1,1,0,0,0,0,0,0,0,2,54,24,112,40
131,1,6,1,2,4,6,0,0,0,0,1,2,1,2,27,1,1,2,0,1,1,1,0,0,0,0,0,0,0,0,2,70,11,111,27
132,2,6,1,3,13,6,0,0,0,1,0,1,2,2,27,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,2,72,28,133,34
133,2,2,4,1,11,3,0,0,0,0,1,2,2,2,49,5,1,4,1,1,1,1,1,1,0,0,0,0,0,0,2,53,22,108,32
134,2,3,4,3,13,4,0,0,0,0,1,2,2,1,49,4,1,4,1,1,1,0,0,0,0,0,0,0,0,0,2,53,24,109,35
135,1,2,1,2,14,2,0,0,0,0,1,2,2,1,27,3,2,2,0,0,1,1,1,1,0,0,0,0,0,0,2,69,23,128,31
136,2,3,4,1,1,5,1,1,0,0,0,2,2,1,49,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,66,16,71,33
137,2,2,1,3,1,3,1,0,0,0,0,2,2,1,27,6,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,54,20,112,30
138,1,2,1,3,2,4,1,0,0,0,0,2,2,1,27,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,69,16,100,36
139,1,5,1,2,16,6,0,1,1,0,0,1,2,3,27,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,2,59,8,84,38
140,2,2,1,1,1,3,0,0,0,0,1,2,2,1,27,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,65,20,111,33
141,2,3,1,2,1,3,0,0,0,0,1,2,2,3,27,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,73,18,115,37
142,1,2,1,3,12,3,0,0,0,0,1,2,2,4,27,4,1,6,1,1,1,1,1,1,0,0,0,0,0,0,2,57,21,109,31
143,2,2,1,2,1,3,1,0,0,0,0,2,2,2,27,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,69,19,116,35
144,2,2,4,3,11,3,0,0,0,0,1,2,2,1,49,5,2,4,0,0,0,0,1,0,0,0,0,0,0,0,2,54,28,121,30
145,2,3,4,3,12,5,0,0,0,0,1,2,2,2,49,4,1,4,1,0,1,0,0,0,0,0,0,0,0,0,2,72,16,112,30
146,2,3,1,3,1,4,1,0,0,0,0,2,2,1,27,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,79,12,104,36
147,2,3,4,3,16,2,0,0,0,0,1,2,3,1,49,6,2,4,1,1,1,0,0,0,0,0,0,0,0,0,2,69,20,89,34
148,1,5,1,2,14,6,0,0,1,1,0,1,2,3,14,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,54,28,102,42
149,1,6,4,3,16,6,0,0,0,0,1,2,1,1,49,6,2,4,0,1,0,0,1,0,0,0,0,0,0,0,2,76,19,109,35
150,2,2,4,3,1,4,0,0,0,0,1,2,2,1,49,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,1,65,18,99,31
151,2,4,4,3,1,6,0,1,0,0,0,2,2,4,49,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,2,61,22,108,31
152,2,3,4,3,3,5,0,1,0,0,0,2,2,2,49,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,1,57,23,90,32
153,1,2,1,2,2,3,0,0,0,0,1,2,2,4,27,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,82,20,103,40
154,2,2,1,2,11,3,0,0,0,0,1,2,2,4,27,5,1,3,1,1,1,1,1,1,0,0,0,0,0,0,2,76,24,109,37
155,2,3,4,3,11,4,1,1,0,0,0,2,2,2,49,5,1,4,1,0,0,0,1,0,0,0,0,0,0,0,2,54,24,104,32
156,2,3,1,2,3,4,1,0,0,0,0,2,4,2,14,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,2,54,24,112,30
157,2,4,4,3,1,5,0,1,0,0,0,1,2,1,49,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,1,54,24,84,30
158,2,2,4,3,13,4,0,0,0,0,1,2,2,4,49,4,2,4,0,0,0,1,0,0,0,0,0,0,0,0,2,54,24,108,30
159,2,5,4,3,3,6,1,0,0,0,0,2,2,1,49,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,2,74,20,112,39
160,2,3,4,3,1,5,1,1,0,0,0,2,2,2,49,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,2,60,16,84,30
161,2,5,4,3,3,6,0,0,1,0,1,2,2,2,42,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,2,79,28,132,32
162,2,3,1,2,2,4,1,0,0,0,0,2,2,1,14,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,61,20,84,33
163,2,4,4,3,2,5,1,0,0,0,0,1,2,1,49,3,2,4,0,0,0,1,0,0,0,0,0,0,0,0,1,80,16,130,35
164,2,2,1,2,2,3,0,0,0,0,1,2,2,2,14,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,2,54,21,112,30
165,1,1,4,1,11,2,0,0,0,0,1,2,2,1,49,5,2,4,0,0,1,0,1,0,0,0,0,0,0,0,2,54,24,84,30
166,1,1,2,1,5,1,0,0,0,0,1,2,2,1,3,2,1,3,0,0,0,0,0,0,0,1,0,0,0,0,2,55,22,104,31
167,2,1,1,3,1,1,0,0,0,0,1,2,2,1,14,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,2,80,28,140,33
168,2,4,4,3,3,5,0,1,1,0,0,2,2,2,49,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,2,51,24,112,38
169,2,5,1,2,1,6,1,1,0,0,0,1,2,3,27,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,59,17,109,38
170,1,5,1,2,11,6,0,0,0,0,1,2,2,2,32,5,1,2,1,0,1,0,0,1,0,0,0,0,0,0,2,57,20,84,30
171,2,2,4,3,1,4,1,0,0,0,0,2,1,2,49,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,64,17,91,37
172,1,5,1,2,2,6,0,0,1,0,0,1,2,3,32,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,2,67,18,122,30
173,2,2,1,3,1,3,1,0,0,0,0,2,2,1,14,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,69,16,108,31
174,2,1,4,3,12,2,1,0,0,0,0,2,2,1,49,4,2,4,0,0,1,1,0,0,0,0,0,0,0,0,2,76,20,109,37
175,2,2,2,1,10,1,0,0,0,0,1,2,3,1,3,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,2,67,20,107,28
176,2,2,2,1,12,4,0,0,0,0,1,2,2,1,3,4,1,2,0,0,0,0,0,0,0,1,1,0,0,0,2,54,24,84,28
177,2,2,1,1,14,4,0,0,0,0,1,2,2,2,14,3,2,2,0,0,0,1,1,1,0,0,0,0,0,0,2,51,24,136,43
178,2,4,1,2,3,6,0,1,0,0,0,1,2,2,14,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,56,24,84,30
179,2,2,1,2,1,4,0,0,0,0,1,2,2,1,32,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,62,16,81,30
180,1,6,2,1,7,6,1,0,0,0,0,2,2,2,3,6,1,2,0,0,0,0,0,0,1,0,0,0,0,0,2,54,24,112,30
181,2,3,4,3,1,4,0,0,0,0,1,2,2,1,49,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,1,77,8,136,30
182,2,2,1,2,1,3,0,0,0,0,1,1,2,4,32,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,63,24,98,32
